Deployment_Name,Date.out,Date.in,Shift.begin.1,Shift.end.1,Shift.begin.2,Shift.end.2,Log.in.View,Notes
0301_F17,2017-10-02T12:00:00,2017-12-01T12:00:00,2017-10-02T12:00:00,2017-10-02T12:00:00,2017-10-02T12:00:00,2017-10-02T12:00:00,NO,GOOD. Bear shifts camera on 10/15/2017@21:58:29 and it is not changed for the rest of the deployment. JMK says the shift was not big enough to worry.
0302_F17,2017-10-02T12:00:00,2017-12-01T12:00:00,2017-10-02T12:00:00,2017-10-02T12:00:00,2017-10-02T12:00:00,2017-10-02T12:00:00,YES,Good
0303_F17,2017-10-02T12:00:00,2017-11-25T08:16:22,2017-10-02T12:00:00,2017-10-02T12:00:00,2017-10-02T12:00:00,2017-10-02T12:00:00,NO,"Looks like battery died. Last photo was Nov 25, 2017 at 8:16:18 AM"
0304_F17,2017-10-02T12:00:00,2017-12-01T12:00:00,2017-10-02T12:00:00,2017-10-02T12:00:00,2017-10-02T12:00:00,2017-10-02T12:00:00,YES,Good
0305_F17,2017-10-02T12:00:00,2017-10-16T18:59:29,2017-10-02T12:00:00,2017-10-02T12:00:00,2017-10-02T12:00:00,2017-10-02T12:00:00,NO,"Bear moved camera 10/16/2018 6:51:29. Changed range and orientation of camera but still functioned well. Looks like no one noticed the change, so this may have continued through Winter. Winter was in the shifted position, and while OK independently, cannot be compared with Summer and this first half of Fall. Card filled Nov 30 641AM. Do we need to make a line for 0305_F17-2 so that we can use the rest of these sequences after 10/16/2017  in the fall analysis, but exclude it when we compare it to the winter and summer?"
0401_F17,2017-10-12T12:00:00,2017-12-01T12:00:00,2017-10-02T12:00:00,2017-10-02T12:00:00,2017-10-02T12:00:00,2017-10-02T12:00:00,YES,"Originally set on 10/2/2017  1:27:16 AM but someone moved camera significantly on Oct 12 and 241 pm. Started deployment then. The camera was somehow moved again on Oct 16 between 1258 am and 842 am. Not sure how. But angle changed dramatically. On Nov 6 at 1513 it changed again by staff, back to original angle. I think I need to just ignore it.  Large log in view obscures much of lower level, camera likely has short detection distance. Need to compare fall view with summer view to see if significantly different. 12/1 12:02 pic with both squirrel species."
0402_F17,2017-10-02T12:00:00,2017-12-01T12:00:00,2017-10-16T07:02:07,2017-11-06T14:45:30,2017-10-02T12:00:00,2017-10-02T12:00:00,NO,"large tree close to camera greatly reduces flash range in night photos. Bear changes view significantly on Oct 16, 702:07 AM. Returned to close enough position on Nov 6 1445:30. Remove period between"
0403_F17,2017-10-02T12:00:00,2017-12-01T12:00:00,2017-10-08T06:52:00,2017-10-12T14:22:48,2017-10-02T12:00:00,2017-10-02T12:00:00,NO,"Sequences in emammal are in 2 separate ""deployments, one with a dash-1 at end. dash 1 folder contains Oct 2 through around Nov 6. I think the other one finishes the deployment, because the camera was changed on Nov 6. Can't find the original images on X drive though. Hopefully those are the 59 other sequences in emammal listed as 0403.  Bear moves camera out of position on Oct 8, 2017 6:51:32 AM. Fixed into correct position Oct-12-17 2:22:48 PM"
0404_F17,2017-10-02T12:00:00,2017-12-01T12:00:00,2017-10-02T12:00:00,2017-10-02T12:00:00,2017-10-02T12:00:00,2017-10-02T12:00:00,YES,"No issues, but lots of rodent photos due to log in near view"
0405_F17,2017-10-02T14:30:26,2017-12-01T12:00:00,2017-10-02T12:00:00,2017-10-02T12:00:00,2017-10-02T12:00:00,2017-10-02T12:00:00,NO,not taking color photos at all - seems like this was not noted and continued through winter and spring :-( . Also set on time lapse. Camera is pretty low so flash distance isn't great. Otherwise fine.
0406_F17,2017-10-02T17:04:41,2017-12-01T12:00:00,2017-10-02T12:00:00,2017-10-02T12:00:00,2017-10-02T12:00:00,2017-10-02T12:00:00,YES,Good. All pictures in black and white. Time Lapse setting was on.
0501_F17,2017-10-02T16:35:12,2017-12-01T12:00:00,2017-10-02T12:00:00,2017-10-02T12:00:00,2017-10-02T12:00:00,2017-10-02T12:00:00,YES,Good
0502_F17,2017-10-02T16:49:53,2017-12-01T12:00:00,2017-10-02T12:00:00,2017-10-02T12:00:00,2017-10-02T12:00:00,2017-10-02T12:00:00,NO,"No shift issues, but the camera seems a little smudged throughout deployment. Lense was cleaned on the 12/01/2018 camera grid check and winter photos look clear."
0503_F17,2017-10-02T13:50:55,2017-11-28T17:33:19,2017-10-02T12:00:00,2017-10-02T12:00:00,2017-10-02T12:00:00,2017-10-02T12:00:00,NO,"Good, except camera is fogged on the edges for the whole deployment, but it only shows in the daylight photos. We had this same problem in the summer but we are still using the whole deployment. This is the camera that had dew on the inside of the lense, which was noted in the camera check on 04/05/2018. Last sequence in on 11/28 due to SD card filled. Sems like deer and raccoons feeding on acorns in front of camera most of the time?"
0504_F17,2017-10-02T16:57:43,2017-12-01T12:00:00,2017-10-02T12:00:00,2017-10-02T12:00:00,2017-10-02T12:00:00,2017-10-02T12:00:00,NO,Not taking color photos  
0505_F17,NA,NA,NA,NA,NA,NA,NA,Photos that were uploaded here are coming from SIGMU 15 which was listed as being placed at 0302. Could not find correct data-camera will be removed from Fall deployment
